Date,Currency_Code,Impact,Actual,Previous
2018-02-06T13:50:00.000Z,USD,,0,0
2018-02-06T15:00:00.000Z,CAD,med,0,0
2018-02-06T22:30:00.000Z,AUD,,0,0
2018-02-07,AUD,,0,0
2018-02-07T05:00:00.000Z,JPY,low,-1,-1
2018-02-07T07:00:00.000Z,EUR,med,0,1
2018-02-07T07:00:00.000Z,EUR,med,-1,-1
2018-02-07T07:45:00.000Z,EUR,low,1,1
2018-02-07T07:45:00.000Z,EUR,med,0,0
2018-02-07T08:00:00.000Z,USD,low,-1,1
2018-02-07T08:30:00.000Z,GBP,low,-1,0
2018-02-07T08:30:00.000Z,GBP,low,-1,-1
2018-02-07T09:00:00.000Z,EUR,,0,0
2018-02-07T10:00:00.000Z,EUR,,0,0
2018-02-07T11:00:00.000Z,USD,,0,0
2018-02-07T13:30:00.000Z,CAD,med,1,1
2018-02-07T13:30:00.000Z,USD,,0,0
2018-02-07T16:15:00.000Z,USD,,0,0
2018-02-07T20:00:00.000Z,NZD,med,0,0
2018-02-07T21:00:00.000Z,NZD,,0,0
2018-02-07T22:20:00.000Z,USD,,0,0
2018-02-07T23:50:00.000Z,JPY,low,0,0
2018-02-07T23:50:00.000Z,JPY,med,-1,0
2018-02-08,GBP,,0,0
2018-02-08,NZD,,0,0
2018-02-08T00:00:00.000Z,CNY,,1,0
2018-02-08T00:00:00.000Z,CNY,,1,0
2018-02-08T00:00:00.000Z,CNY,med,-1,0
2018-02-08,EUR,,0,0
2018-02-08T00:00:00.000Z,NZD,,0,0
2018-02-08T00:01:00.000Z,GBP,med,1,0
2018-02-08T02:00:00.000Z,USD,,0,0
2018-02-08T05:00:00.000Z,JPY,med,-1,0
2018-02-08T07:00:00.000Z,EUR,low,-1,0
2018-02-08T07:00:00.000Z,EUR,low,-1,0
2018-02-08T07:30:00.000Z,EUR,med,-1,-1
2018-02-08T08:45:00.000Z,EUR,,0,0
2018-02-08T09:00:00.000Z,AUD,,0,0
2018-02-08T09:00:00.000Z,EUR,,0,0
2018-02-08T09:15:00.000Z,USD,,0,0
2018-02-08T10:00:00.000Z,EUR,,0,0
2018-02-08T10:15:00.000Z,EUR,,0,0
2018-02-08T10:45:00.000Z,EUR,,0,0
2018-02-08T12:00:00.000Z,GBP,high,0,0
2018-02-08T12:00:00.000Z,GBP,high,0,0
2018-02-08T13:00:00.000Z,USD,,0,0
2018-02-08T13:15:00.000Z,CAD,,1,1
2018-02-08T13:30:00.000Z,USD,med,1,0
2018-02-08T13:30:00.000Z,CAD,low,-1,0
2018-02-08T14:00:00.000Z,USD,,0,0
2018-02-08T17:45:00.000Z,CAD,,0,0
